,atom,chainlink,engytime,hepta,lsun,target,tetra,twodiamonds,wingnut,dense,fuzzyx,line,parabolic,ring,zigzag,iris,iris5,square,a1,a2,a3,aggregation,compound,d31,flame,jain,pathbased,r15,s1,s2,s3,s4,spiral,unbalance,cross,smile,twosplashes,x1,x2,x3,z1,z2,z3,crosshair,splecione,spread
Spectral Clustering,1.0,1.0,0.7393387616333722,1.0,1.0,0.4089165184564824,1.0,1.0,1.0,0.9287321798956037,0.6335306199320709,1.0,0.5506007749971059,0.989582553048664,1.0,0.7842528489695737,0.3918615002965064,1.0,0.9633628990975908,0.9723066663864947,0.9776929727180742,0.9832256118652497,0.8110978117835461,0.9592728199508397,0.8810889134445571,1.0,0.5612662216506451,0.9906909551146665,0.9833354136156888,0.9405567913896072,0.7962913054845245,,0.39991643203897664,0.8665759151034329,0.5246266440833133,0.664335562079636,0.4017319929211615,1.0,0.7445411876902888,0.8794976918292088,0.3897526091488336,1.0,0.9861912202218744,-0.0013216991858989592,-0.0074159252855166835,0.9101783847394271
Linkage single,1.0,1.0,0.00024434595976662596,1.0,1.0,1.0,-1.3673581601694642e-05,-1.7669107210629506e-15,1.0,0.010542398684236565,-8.662377603138707e-05,1.0,2.3505801273612852e-05,1.0,1.0,0.5820928222202184,0.22348213890174703,1.0,0.6515327226881115,0.6233080515328742,0.6138481057289291,0.7983235380146266,0.6751294423596248,0.46532547090555054,0.008778784220383569,0.1754747016009308,0.00022505906276331026,0.7859072368001728,0.6571676546232458,0.00047756673501206436,0.0010787563440204163,0.001127173681965063,1.0,0.9848247359144896,0.0007527807405840395,1.0,0.005217868269958732,1.0,-0.0031246827192117745,0.0038103363381977538,0.06391316622740913,0.6907612746128176,0.7263080400320151,1.0,-1.4802274889097099e-15,0.0008827844195137182
Linkage complete,0.16206550003261144,0.36019461101973604,0.10285377346582898,1.0,0.525997932604209,0.3264202951076101,0.9821009848700905,0.9361395244638924,1.0,0.31676041581802705,0.7222740693827591,0.12633378096944128,0.5028891138548327,0.27829009411617145,0.3373038242116029,0.6963483696671463,0.43390592194960137,0.243018388889116,0.9488477347997234,0.9509302453356794,0.9577441705742131,0.8319736132915514,0.7445853388857987,0.9494122632277728,0.057142754579282334,0.656761800032851,0.3762258996416782,0.9831804587920993,0.9766537591776351,0.8665910184736046,0.6874353911633653,0.5933837713155518,0.0009874920895218337,0.6958920407827032,0.38295110039593694,0.6758702329828605,0.1653004246126139,1.0,0.3408825186591028,0.7590656378226848,0.2524680704872205,0.5884062403087421,0.9211727307790156,-0.0012995550150346135,-0.007033545669395447,0.6146861056288133
Linkage average,0.17812042492975286,0.3284647023868623,0.11292808128737208,1.0,0.4869046569093041,0.27088928535787,0.9897991568445268,0.9873781563203018,1.0,0.8772533689573538,0.7963659537329003,0.1292427362962542,0.4913348512887005,0.19338245217829703,0.32662378842953926,0.7934250515435665,0.6149217326952644,0.2288571322297149,0.9504245632714355,0.9601799749754533,0.9673380365498845,1.0,0.7795094090961028,0.9434368732849554,0.4686576543025379,0.656761800032851,0.4825230949340418,0.9915898561863785,0.9833758610482526,0.9302134838982676,0.7114792997038775,0.6208277077892338,-0.0029182857861888185,1.0,0.019072963560905598,0.7389903929337108,0.023595713865222204,1.0,0.32559254140736543,0.6029783637679988,0.2822192599663848,0.6927457234428271,0.9947464122882249,-0.0010155902835234597,-0.008840769656010387,0.8714203283444356
Linkage weighted,0.28156498996758234,0.4268994302540183,0.0935894820021341,1.0,0.4721006048236776,0.39921867585826093,1.0,0.9873781563203018,1.0,0.03208305800543103,0.7230265529758307,0.15487257526790169,0.5257901530842267,0.2359001617411809,0.3478523683439631,0.7842528489695738,0.5978184561938201,0.28741011319065274,0.8951266916135855,0.929273384571588,0.9308214103611002,0.7841939404413246,0.7966407497638618,0.8927791233869834,0.4053154582169822,0.46672881975913166,0.4163660969705644,0.9812890515121565,0.9053748751903743,0.8216195502442744,0.6140636309616393,0.5454870048726899,0.003777201823041387,0.6964760326033382,0.13017792681758666,0.6920689792670867,0.14959677271485838,1.0,0.09703229305834571,0.6402587045538163,0.20730350149920498,0.5701840669164028,0.9118718047033375,0.017985322543316595,-0.006887230682212844,0.7474215938863474
Linkage centroid,0.0,0.0,0.08095388945106378,1.0,0.4869046569093041,0.12502483925162852,1.0,0.9873781563203018,1.0,0.8772533689573538,0.7571761553191734,0.15663733667064247,0.5474748687911116,0.11681558630839813,0.33469984606116493,0.7934250515435665,0.6149217326952644,0.3091956847242768,0.8975793704777826,0.9075118624139629,0.9225392284114555,0.9891638871292899,0.7890079442206722,0.8884360526142475,0.008778784220383569,0.46672881975913166,0.499725970008791,0.9906748549194937,0.9507611173933811,0.6068569801703553,0.16524193178179783,0.2791270789337318,0.0,0.9993856969886257,0.019072963560905598,0.7652299916730193,0.023595713865222204,1.0,0.32559254140736543,0.6029783637679988,-2.526421368295464e-15,0.6807194027259351,0.9947464122882249,1.908191309539486e-15,-6.40685300762983e-16,0.8270825990612625
Linkage median,0.0,0.40082798239809975,0.022155595432200824,1.0,0.47617490621117553,0.2963729903378804,1.0,0.9680699599678765,0.05323396690471518,0.5022833314978635,0.5112963560311322,0.15487257526790169,0.5673608387059106,0.0,0.3478523683439631,0.5767707120409253,0.21601527545526314,0.2359001617411809,0.8275522139452022,0.8721726110336934,0.8784019693821521,0.9547482113761313,0.7521655123256316,0.8122687688277278,0.2625004612824251,0.37503832539379656,0.5054227398098122,0.9884868343381116,0.8702462281726483,0.6481246790614344,0.1850830412759907,0.1674792942668787,0.0018900487578275592,1.0,0.05336241641504657,0.6637475889061393,0.0745643850169201,1.0,0.2612131898725217,0.6679025608512447,0.1880400656337882,0.5412082112340556,0.8688209641801143,1.908191309539486e-15,-6.40685300762983e-16,0.6488294818769348
Linkage ward,0.17812042492975286,0.3350166223991914,0.6434857375282572,1.0,0.5089654000797574,0.48519728226984526,0.9634495595338891,1.0,0.49310911690206777,0.8772533689573538,0.729537458170672,0.09853899252982874,0.520506096041258,0.19604569307767866,0.35474559328157695,0.7578034225092115,0.5485191253625832,0.31395982861596267,0.9455850763211908,0.9568420671551979,0.9659392352591385,0.8783899499819493,0.692907468314193,0.9482070714680901,0.32692865762460444,0.46672881975913166,0.5345140615221501,0.9853677025410644,0.9845883885608524,0.9258700857228591,0.7670513302121748,0.6871272577780524,-0.0009871963223481426,0.9993856969886254,0.24312458846385232,0.6923898872025789,0.14959677271485838,1.0,0.32654692524678425,0.8720070764501614,0.19747371238331013,0.6147788308662085,1.0,-0.0012186009542227176,0.06271847071313828,0.8380120647515431
Genie,1.0,1.0,0.7387931075148604,1.0,1.0,0.42374571603753464,1.0,0.9513710531050082,1.0,0.9287321798956037,0.5430983918666454,1.0,0.7392461097864601,1.0,1.0,0.8680441598557443,0.5279749539834182,1.0,0.9453223005545545,0.9602028937001367,0.9690607644152316,0.7448567242229409,0.7425492384336586,0.942064211015429,1.0,1.0,0.7072988630096066,0.9884868343381116,0.9879136439439823,0.9333002379269817,0.7651372761771307,0.6977004867563823,1.0,0.6617343208687911,0.5875488586457526,1.0,0.4017319929211615,1.0,0.7445411876902888,0.6065158810227601,0.48583008865155297,0.7056034703751943,0.7270313677052356,1.0,-0.007051751978162419,0.9021037700533453
Spectral Clustering - sklearn,-1.7669107210629506e-15,0.11325260140727089,0.7758091134660409,1.0,0.784813467013806,0.31961010825071934,1.0,1.0,0.64539001579884,0.7750968893548622,0.5271057690023008,0.14636196968142895,0.5705915043201282,1.0,0.35716308778622546,0.7842528489695738,0.5978184561938202,0.20816260196805342,-1.1488648056861887e-15,-1.0460993039733854e-15,0.0,0.9832256118652499,0.7378983470593887,0.9637018181198993,0.008778784220383569,1.0,0.7548248962861762,0.993793975848715,-0.00012933702909409469,0.0004902833422851305,0.00015725053425267964,-0.0003112526359693018,1.0,0.0,0.005089345375246981,0.8941512746666862,0.2119473873825884,1.0,0.00971012319314514,0.3391790312215929,0.12957016038874825,0.8472545832269192,0.9645108632895127,0.010454903065782159,-0.008840769656010387,0.8642377041786042
MiniBatchKMeans,0.21656543456633773,0.0643798897467415,0.7087179648615048,1.0,0.5382333283047946,0.4820313086161126,1.0,1.0,0.696393902263853,0.740352341542871,0.703537444352185,0.15663733667064247,0.482139107124557,0.2401619633948984,0.3509031251109229,0.7331180735280008,0.5600274972116357,0.018028191616237584,0.9728283783140909,0.9380187064005424,0.9631862317730181,0.8005051064186782,0.6777103270588622,0.964860782571494,0.4207144961555582,0.3145812962215078,0.5131842611103059,0.993793975848715,0.9871141564886016,0.9083377583251261,0.7681288215199045,0.7155073336520453,-0.00452260131233378,1.0,0.31468082240837425,0.7522885962773876,0.2119473873825884,1.0,0.34088251865910274,0.8558800618141894,0.27029635065973334,0.5899129745120294,1.0,-0.0013216991858989587,0.07836154318325342,0.8363793457704057
